"Área","Espécie"
"Área A","especie 1"
"Área A","especie 3"
"Área A","especie 2"
"Área A","especie 2"
"Área A","especie 3"
"Área A","especie 1"
"Área A","especie 3"
"Área A","especie 1"
"Área A","especie 1"
"Área A","especie 1"
"Área A","especie 1"
"Área A","especie 1"
"Área A","especie 2"
"Área A","especie 3"
"Área A","especie 3"
"Área A","especie 3"
"Área A","especie 1"
"Área A","especie 2"
"Área A","especie 1"
"Área A","especie 1"
"Área A","especie 3"
"Área A","especie 3"
"Área A","especie 1"
"Área A","especie 1"
"Área A","especie 4"
"Área A","especie 1"
"Área A","especie 3"
"Área A","especie 3"
"Área A","especie 3"
"Área A","especie 2"
"Área A","especie 2"
"Área A","especie 3"
"Área A","especie 1"
"Área A","especie 2"
"Área A","especie 3"
"Área A","especie 2"
"Área A","especie 2"
"Área A","especie 1"
"Área A","especie 2"
"Área A","especie 2"
"Área A","especie 2"
"Área A","especie 1"
"Área A","especie 1"
"Área A","especie 3"
"Área A","especie 3"
"Área A","especie 1"
"Área A","especie 1"
"Área A","especie 3"
"Área A","especie 1"
"Área A","especie 3"
"Área B","especie 1"
"Área B","especie 3"
"Área B","especie 2"
"Área B","especie 2"
"Área B","especie 3"
"Área B","especie 1"
"Área B","especie 3"
"Área B","especie 1"
"Área B","especie 1"
"Área B","especie 1"
"Área B","especie 1"
"Área B","especie 1"
"Área B","especie 2"
"Área B","especie 3"
"Área B","especie 3"
"Área B","especie 3"
"Área B","especie 1"
"Área B","especie 2"
"Área B","especie 1"
"Área B","especie 1"
"Área B","especie 3"
"Área B","especie 3"
"Área B","especie 1"
"Área B","especie 1"
"Área B","especie 4"
"Área B","especie 1"
"Área B","especie 3"
"Área B","especie 3"
"Área B","especie 3"
"Área B","especie 2"
"Área B","especie 2"
"Área B","especie 3"
"Área B","especie 1"
"Área B","especie 2"
"Área B","especie 3"
"Área B","especie 2"
"Área B","especie 2"
"Área B","especie 1"
"Área B","especie 2"
"Área B","especie 2"
"Área B","especie 2"
"Área B","especie 1"
"Área B","especie 1"
"Área B","especie 3"
"Área B","especie 3"
"Área B","especie 1"
"Área B","especie 1"
"Área B","especie 3"
"Área B","especie 1"
"Área B","especie 3"
"Área C","especie 1"
"Área C","especie 3"
"Área C","especie 2"
"Área C","especie 2"
"Área C","especie 3"
"Área C","especie 1"
"Área C","especie 3"
"Área C","especie 1"
"Área C","especie 1"
"Área C","especie 1"
"Área C","especie 1"
"Área C","especie 1"
"Área C","especie 2"
"Área C","especie 3"
"Área C","especie 3"
"Área C","especie 3"
"Área C","especie 1"
"Área C","especie 2"
"Área C","especie 1"
"Área C","especie 1"
"Área C","especie 3"
"Área C","especie 3"
"Área C","especie 1"
"Área C","especie 1"
"Área C","especie 4"
"Área C","especie 1"
"Área C","especie 3"
"Área C","especie 3"
"Área C","especie 3"
"Área C","especie 2"
"Área C","especie 2"
"Área C","especie 3"
"Área C","especie 1"
"Área C","especie 2"
"Área C","especie 3"
"Área C","especie 2"
"Área C","especie 2"
"Área C","especie 1"
"Área C","especie 2"
"Área C","especie 2"
"Área C","especie 2"
"Área C","especie 1"
"Área C","especie 1"
"Área C","especie 3"
"Área C","especie 3"
"Área C","especie 1"
"Área C","especie 1"
"Área C","especie 3"
"Área C","especie 1"
"Área C","especie 3"
"Área D","especie 1"
"Área D","especie 3"
"Área D","especie 2"
"Área D","especie 2"
"Área D","especie 3"
"Área D","especie 1"
"Área D","especie 3"
"Área D","especie 1"
"Área D","especie 1"
"Área D","especie 1"
"Área D","especie 1"
"Área D","especie 1"
"Área D","especie 2"
"Área D","especie 3"
"Área D","especie 3"
"Área D","especie 3"
"Área D","especie 1"
"Área D","especie 2"
"Área D","especie 1"
"Área D","especie 1"
"Área D","especie 3"
"Área D","especie 3"
"Área D","especie 1"
"Área D","especie 1"
"Área D","especie 4"
"Área D","especie 1"
"Área D","especie 3"
"Área D","especie 3"
"Área D","especie 3"
"Área D","especie 2"
"Área D","especie 2"
"Área D","especie 3"
"Área D","especie 1"
"Área D","especie 2"
"Área D","especie 3"
"Área D","especie 2"
"Área D","especie 2"
"Área D","especie 1"
"Área D","especie 2"
"Área D","especie 2"
"Área D","especie 2"
"Área D","especie 1"
"Área D","especie 1"
"Área D","especie 3"
"Área D","especie 3"
"Área D","especie 1"
"Área D","especie 1"
"Área D","especie 3"
"Área D","especie 1"
"Área D","especie 3"
"Área E","especie 1"
"Área E","especie 3"
"Área E","especie 2"
"Área E","especie 2"
"Área E","especie 3"
"Área E","especie 1"
"Área E","especie 3"
"Área E","especie 1"
"Área E","especie 1"
"Área E","especie 1"
"Área E","especie 1"
"Área E","especie 1"
"Área E","especie 2"
"Área E","especie 3"
"Área E","especie 3"
"Área E","especie 3"
"Área E","especie 1"
"Área E","especie 2"
"Área E","especie 1"
"Área E","especie 1"
"Área E","especie 3"
"Área E","especie 3"
"Área E","especie 1"
"Área E","especie 1"
"Área E","especie 4"
"Área E","especie 1"
"Área E","especie 3"
"Área E","especie 3"
"Área E","especie 3"
"Área E","especie 2"
"Área E","especie 2"
"Área E","especie 3"
"Área E","especie 1"
"Área E","especie 2"
"Área E","especie 3"
"Área E","especie 2"
"Área E","especie 2"
"Área E","especie 1"
"Área E","especie 2"
"Área E","especie 2"
"Área E","especie 2"
"Área E","especie 1"
"Área E","especie 1"
"Área E","especie 3"
"Área E","especie 3"
"Área E","especie 1"
"Área E","especie 1"
"Área E","especie 3"
"Área E","especie 1"
"Área E","especie 3"
